reviewId,content,score
9e15ed51-a910-4bf9-a072-d3fc0258d44d,Candy crush rules!!👍👍,5
e91ebf28-e5aa-442e-8e1a-dd717a19e4f5,GOOD,5
ce37923e-e1a4-4589-b406-569a25bddda8,Refreshing game,5
56886681-0b32-499d-9974-cc9114f7ab92,Comfortable,5
c1ba9479-7f0d-44ac-b17e-ebec20d1f0dd,Can't get enough.,5
77e33236-d3cd-410d-a790-81f5373b14da,Like it's game,4
3298de53-9c29-47ef-847a-be6317012429,This game is great,5
f3793f46-bf99-4993-91d6-20b36cf884aa,It cooperatively,5
cc76585b-cce0-4543-a7f6-a4e4d17f2867,I like the game,5
8ef2bb3b-889e-42d3-aaf7-47e4b817714c,Wonderful fun,5
cd7d261a-7899-4809-80c4-d40e57f3e37d,Great game needs more levels to play,5
53faf149-25e7-4125-a640-ad139ea67acd,Stress reliever,5
a1ea92c1-c518-4cd5-81fb-811e12ceb693,My fav Game,5
8bc7d72a-25a4-4745-9a54-867ff63ec0cc,cool 🎮,5
5f4b5c01-7b41-47ad-a12b-48fac687b456,I'm having fan,5
da8f301c-dc5d-46a8-b99a-1fb4eb0e74fb,Great game,5
99cb8b85-3ec8-4ac5-a4d0-35f03d544513,Wow,4
e03cd7cf-057c-46f5-9bc8-5fdba869ba1f,Just addictive!,5
41fd71f2-6d7f-4b16-9a2d-596d92bca1a9,Good time pass,5
227b8b9c-5cf4-4db8-9ef0-579df177f5ac,very interesting and addictive and fun,5
2684626c-8c12-4e74-927d-903f65048de9,I love this game and Candy Crush soda I play them for hours couldn't find better games I give them 5 stars ⭐ I would give them a 10 star ⭐ but they don't go that high love the game ❣️,5
43b51cb7-4577-4723-95ec-8b5dbc16a9d6,Awesome game,5
510b8f2a-8c38-4297-a411-6cd1833dc867,Love it,5
7182d71a-6bcd-460a-a2fd-bdc5e1ce66e1,I am deleting can't get abywhere,1
12086ae4-882e-466f-92e3-a53beacbed26,Game of love and hate relationship. The love side is true fun and nostalgia. Psychic and tactical manipulation to offer a player buying in-game something over and over is the hate side. Its marketing strategy overpowering the game randomness is very intense and may turn one to get bored sometimes.,3
8b6e5d93-4a49-4227-a8c9-396b9e5aceb5,Worst game ever because the ads r annoying as hell,1
c5281c26-63a1-46b8-bb0f-5e06e65cdd52,Good game,5
e51b7924-48ee-4f2c-a1e7-52bf57b8c235,This is a game that turns into a task. Players are likely to get mental,1
42740d1f-56a1-4f48-92e3-92e3bca65af2,Good game 🎮🎮🎮,5
4eab97cb-4f7c-4479-a59e-3f81f47f213c,Good game indeed,4
9039415d-c3b1-431b-bad2-cd453b08930c,Enjoyable game😊,5
44e055e1-a277-43f7-b178-9b33b4a71256,Nice game,5
fbd03d3e-c363-4ebb-ba2b-bc883c05f073,I just love this game,5
f3ddb250-b3fd-472a-9817-e0d7031d0c57,Bliss 😊💕😊,5
5f648e89-2497-40db-933e-d2b5fffa79e1,Even though I had to start over from the beginning it'd still very fun,5
7c66e59c-a1b5-4208-95a1-2b3aa3ef0fd8,It is tricky and good for mind,5
abe4b946-41bf-4ede-bba3-bb14a2d55856,No advertise,5
3074d42a-c9c9-42d8-8b9f-a8d5bbad79ab,Fun and fun,5
1c22ad55-534f-4fbb-88a7-ec1c538e2bec,It's so awesome 😎👍 like it 😍,5
7aa82fdb-944e-4e7b-a634-7eb4c3f5cb99,Fun way to pass the time,5
ffd49156-2147-4ee7-ab42-145e5d27180a,Gives me something to pass the time away,4
0dae45d2-f578-48b3-88fe-ea59f560f0e6,Have just started to play again since I got new phone it's a lot better,5
86c9093f-f3fb-4489-9e1a-704e70f6d721,Fun and entertaining.,4
511b4fb9-973f-4a69-9e29-891035fa4174,So so so so so,5
05a3da3a-22a5-43d3-9049-343472d1b529,Stressful,5
f0cc67eb-1d60-4171-bb27-73f81eddbe61,It's a good game for me,3
b881764d-5f87-45ef-a89f-963bfd231856,"As fun as always, good luck",5
5dd07117-098e-43cb-928b-f113d03b0be0,Love it its fun,5
4241b2aa-b783-4087-965b-2e3b83880399,"Sluperbgvuerlly Misstaken lol jcc doc lau Sick sick sick Ssa sss sss Lol Lol Lol Too, one,shall parish. Alone. Begot, land, of ifinight sifshts The tou cofts if tufculit cuouts Can eat theif. The day gas coftm Caft Out thy sinn Dey Court Thy Thy Thy Seeth Enntere Thry fray Inmmortal foool Seek For cuntuinual healing Aframent Cattle Peeel Infinite Courtz Sinn Impact foul Soul Reep Fool Cherish Not Thy Mother Not Father !. Shek ogohhggogh Suck. Tou hiffer Try Try Try. Seek Shutter",5
41fba46c-50e1-431b-9e78-7f88efdf68ad,I love Game,5
28dfa034-4122-4daf-9301-0ad7d52fd2f7,Love it!!!!! The best game EVER,5
a10f8574-de18-47cf-88dd-aa6fcf336105,Love this game. Hate waiting for lives when I lose though Lol.,5
ce11ada5-8f32-4281-aa40-6e9b38142f9f,I love the game,5
b02ada24-0073-4f44-9737-6f14655441f8,Fantastic,5
7ae14a83-e832-4697-8cc9-6f41b22cd54e,Very nice 👍,5
480fc225-852a-4093-9570-1ec7ec6f85ff,Love this game,5
ed679ba7-4d95-462b-b200-9c09f815e944,Good game,5
93a71775-a4b4-4b3a-9c4c-9f53dd424fcf,It was Best game but now it's causing problems can't play game properly,5
52b0e27b-c654-4e99-91a2-8306c4c9d8fd,Good game,5
ccad2656-55fe-497e-ae2f-02b70a7d0cf3,Good game,5
deee412c-c453-4bf7-a0db-0883cb947f36,Superb game,5
d2b3bfa4-752c-4c8a-9410-9bb071de518b,Game is not working very slow claiming system,1
bb099f13-7d46-4c26-8faa-015859153343,This game is fabulous😋✨,5
77b462cb-d32c-4422-befb-4d80d39f8baf,Very nice game,5
bfd91d4a-94ee-41bb-89e1-e65c41023707,After update game is not working properly it's too annoying,5
17aa7f83-74ba-4641-8db7-e16247a9b0d4,At game conclusion it won't connect to the play store to give me extra plays by watching ads.,2
62eef42d-c01a-4948-8608-3adf580c4bf9,It's a game where you can enjoy and relax. It keeps you thinking and makes sure you have fun and return back to the game. Am back!!,5
5ec078d5-6b7c-460a-a33a-dbb9539c7eae,Having fun,5
af03e3ef-5605-4f35-9051-97544b3f9e2c,Amazing,5
96979b8c-f50a-4374-bbb9-e41d7b4188d0,Addictive 15/06/24- app will not connect to the store. Can't use my gold to get extra moves or purchase boosters,5
a15edd73-45d7-47d7-8a3d-aeee6ce339af,I love the game,5
27e7b548-9241-459e-bb74-f435acb56701,Mind challenging. Great for focus and concentration,5
1982a728-ba3b-4eb2-8cb9-b02817e6caa2,...6 ni nice,1
7228adfd-648a-4fe9-b40a-ca34bd698876,Error login with Facebook id,1
9f67754d-8a48-41aa-a425-8b3c7b37852d,Fantastic,5
320eec19-b6ed-4dd7-93bd-6bfd936e8d26,What wrong with game. Why can't it connect with Facebook account,2
b0aabcf1-7b51-4e8e-88c3-fb39e2626a04,Nice,3
edde90d1-5a57-4b32-8839-b47cb32bc44f,Why always App not available ？,2
02a14135-72d6-4043-814c-a647f6a39c4b,"""There was a connection error. Try again in a bit."" When trying to log in with my Facebook account. I've done all of the usual steps to fix it. It's not a problem at my end.",1
49c6555e-fb56-46b8-bb91-5353a8b06bf3,Stupid 😡😡😡😡,1
e91c84fd-b0f9-4ad1-bc99-8a89147fc7cb,It's Very nice game,5
d2881c88-99cb-42a6-a676-fb6314bcdf98,Nice,5
39d7d330-e713-4bcc-99a6-89cd496d0fcd,Awesome 👌 👏,5
5fe0cd0b-e4e5-406f-8b09-46d27fbf41ad,I am happy,5
191c88d8-1137-4b3e-b80b-7573dc25cbc6,Love this game,5
76ebb70e-17ef-483f-a32a-616c464aebc5,Yez,5
3328185b-e964-46e5-a8e1-a909e5c7072b,"Horrified with this latest update as I'm not getting any gold bars even after winning in the contest of 500 gold bars with 100people,everything goes blank please pay me back ASAP",1
6bb4924a-f58f-475b-863f-f15dd3f36a53,Nice! 👍🏾,5
a9740370-a131-4336-990c-367a0b08fbde,It's telling me that it's connecting to the app store,1
de67061a-b470-400d-9074-e2feb9e7506e,Great game,5
ae9294b1-e129-431f-a1b2-84d45915a8a9,I've no mercy for this app! 😭😡I can never play!NEVER EVER.some silly regulations.Im disappointed 😔 because I bet it would be great don't get me wrong it's not all bad yes see more make your own decisions in the real life 😉 world 🌍.Bye✨,1
2105ee4e-02c4-4b3a-8471-6631c899062e,Time pass,4
11a79f9a-f103-4d50-9d10-2d3f51be8cc9,"DO NOT DOWNLOAD THIS GAME! ""Contacting app store"" for 10 minutes now, even though I have no internet problems. Just to make me lose the race and my streak. Total scam. .i. Enjoy :)",1
a1180123-58d3-4da3-b1ec-c3c077bf5202,Zero star. It says not connected to wifi,1
7176bc17-a0eb-405d-9b6e-9473b81df8f9,"Fun, when it works. App and app store freeze when lots of players online. End up losing streaks and purchased items. Uninstalled",1
6e6d175a-2553-4b49-a78c-c558f7be8518,"When I was reach on top level then why always crash application and restart, then I lose my all bonuses. Pathetic experience, 🙀 and this happens almost 7 to 8 times with me, also when I am try to purchase lollipop or swipe hand then also process not complete and game is restart. I will become boaring by the pass of level with this type of glitches. Now I am going to uninstall this game after very very long time. Enjoy this type of boaring game players.",1
0b08ded2-1cd2-4200-a08e-2a5e866f3b3f,"Why is everytime I purchase boosters with a time limit, the app ALWAYS ends up glitching, my events disappear, I can't contact app store it just spins. On top of being top 3 right now for gift card tournament, now it's showing I'm back at 0 for orange candies collected. What a waste of my money when I can't even use boosters I paid for, AND I just got screwed out of 40 gold bars for winning the episode race cause it wouldn't load, now all events are gone all together. This is an on going issue!!",2
17c8f071-2110-4752-93be-33942e6348e4,Now there are connection issues.,1
010654d2-7128-4f40-8185-f949b18581b3,This game for time pass,3
bc3b0154-e8d8-42d4-8810-48702e69cff7,This is so wonderful and awesome ❤️,5
34c0e626-f571-47c4-9f26-771be7ec0bf4,Bakwas,5
948bacec-f317-40da-95fe-8ae2c12c596e,"It's a game you can leave for a while, but when you go back, it's just as good. I love it. ❤️",5
c9e4cfef-725b-4da5-9190-67bb86231187,Beautiful game,4
42a9bb02-0bd7-4b7b-a1cf-e45fa4114a77,💓,5
97d5578f-4188-4f57-a81b-8e8e8d4b7000,It's very easy and wonderful game most people playing this game In to many fantastic levels my heart say just playing the more levels this game is great to time pass while playing I don't know how many levels have been played the day is not spent without playing this game I like this game,5
c3227041-eb6a-408d-9b3b-50b5ddfd65d9,Good,2
ae361187-3ff7-497d-a421-90747fc793fc,Enjoyable,5
815d7ec4-b27c-44b9-911c-c60e040f0d63,How are things,1
dc01a789-a508-4df4-a0d6-df1dc223d929,Good,5
13015f58-150e-465b-8603-80c1fe880e71,Great game,5
9b1902d0-3d0e-4616-b11f-e4d25f976f43,Beautiful,5
8e0ab96b-6031-48a0-a4d9-619b5f3f86e5,"I have been enjoying this game for some years now but what happened each time I try to watch Ad to boost my moves it end up freezing and get me lose, it's annoying please do something, and since we use money to buy some boosters please find a way of paying us back according to how we play",3
2e06dc6c-1637-4333-a9d6-2fdaa6672652,Nice..game!!!!!!!!,5
3fd2c500-6b12-4cd3-b2dc-91f56a228123,Mind fresh game,5
1c2cf9e8-5175-4bc6-9daf-ed492340caa9,Wowwwww😍😘,5
63946eb3-f4b3-4c04-88fd-fdf882a233a0,Fun!!!! 🥰,5
4da6028b-78c2-4400-aa80-0fd184ff03d7,Great music,5
af8b97a3-3622-48b6-ab4c-b3812743091a,game bom.ui,5
7071a2fe-3579-4ef5-a3f4-353fc23155f5,Good,5
6a26e06f-4663-4578-8b26-e467477ccd57,I feel good about the games,5
51c23eda-43d4-475c-aa8c-6429e945612e,Very user friendly,5
5f9cd5f3-1b87-40cc-83de-2b2130354834,Fun,5
889bf1a8-2e3e-497e-aff9-12ee906aa327,Superb,5
a74ef9e2-af3a-4a07-a6dd-0de274dafb57,spotted and glowing ball together they clear everything,5
425af21f-301c-4dd1-b50e-cceccd5d3dcd,Good App,5
1282ec38-e947-4cdf-8325-117175ba704b,Very interesting game,5
8f54b2b3-0026-4518-a391-88b846e3b0cb,Too good,5
2c66ad50-4fa5-4883-942b-4affe6da9db0,Best time pass game 🎮,5
fbdc6968-3d96-4087-962c-4dc48df4552a,Great way to spend down time! getting better actually!,5
31a4c162-97d3-4867-93f2-d6e1b69ab017,It's very fun and you really have to think,5
886facaa-048b-43e0-a3db-a638a51fb7ec,Enjoyable gmae keep relax and Comfort.,1
c2a420d7-cf55-47d7-9adf-eb738767c52d,Mike likes it,5
e8f7e6f6-5241-47cd-8277-d1e9f353c040,Having great fun 😁,5
7b20efad-d2a4-4936-877e-3b72e386f0e3,"Love this app, it's fun, I can't stop playing this game. ❣️",5
f2d3d555-ce5b-4395-af13-f2c7f9b58527,Fun,5
80a1d122-5cce-405b-a040-57819b1ba00b,"Best game well ,all time 1",5
29c96c67-b0c9-4c5d-bb65-28d3ccc4494b,Good Gems,5
05e10983-a3f7-439e-a6e9-9845b75df406,Superb,5
f6c43aec-0f67-4757-81dc-df109df6f8a3,Keeps the mind busy... The best distraction,5
